gene,log2.fold_change.,value_1,value_2,locus,sample_1,sample_2,status,test_stat,p_value,q_value,significant,fpkm5,fpkm10
Sik1,-1.13079,36.5959,16.7121,chr17:31844249-31855792,mBM_F4_80_GFP_minus,mBM_F4_80_GFP_plus,OK,-4.34926,5.00E-05,0.000250321,yes,2,2
Naaa,-1.13334,97.9085,44.6324,chr5:92257659-92278181,mBM_F4_80_GFP_minus,mBM_F4_80_GFP_plus,OK,-4.30278,5.00E-05,0.000250321,yes,2,2
Phf1,-1.13422,17.4089,7.93116,chr17:26933126-26937908,mBM_F4_80_GFP_minus,mBM_F4_80_GFP_plus,OK,-3.96134,5.00E-05,0.000250321,yes,2,1
Polm,-1.13483,13.3899,6.0976,chr11:5827859-5838016,mBM_F4_80_GFP_minus,mBM_F4_80_GFP_plus,OK,-3.95478,5.00E-05,0.000250321,yes,2,1
Ppfia4,-1.13486,16.0862,7.3253,chr1:134296782-134332928,mBM_F4_80_GFP_minus,mBM_F4_80_GFP_plus,OK,-4.34612,5.00E-05,0.000250321,yes,2,1
Ncf1,-1.13625,427.991,194.71,chr5:134220052-134229625,mBM_F4_80_GFP_minus,mBM_F4_80_GFP_plus,OK,-3.50964,5.00E-05,0.000250321,yes,2,2
Plxnc1,-1.13679,30.2152,13.7409,chr10:94790865-94944578,mBM_F4_80_GFP_minus,mBM_F4_80_GFP_plus,OK,-4.39927,5.00E-05,0.000250321,yes,2,2
Csf2rb2,-1.13696,26.9451,12.2524,chr15:78282507-78305721,mBM_F4_80_GFP_minus,mBM_F4_80_GFP_plus,OK,-4.45135,5.00E-05,0.000250321,yes,2,2
Camk1d,-1.13748,31.4397,14.291,chr2:5293456-5714762,mBM_F4_80_GFP_minus,mBM_F4_80_GFP_plus,OK,-4.35548,5.00E-05,0.000250321,yes,2,2
Ccng2,-1.13913,43.9093,19.9363,chr5:93267572-93276231,mBM_F4_80_GFP_minus,mBM_F4_80_GFP_plus,OK,-4.43718,5.00E-05,0.000250321,yes,2,2
Gimap1,-1.13931,16.3692,7.43124,chr6:48739046-48743795,mBM_F4_80_GFP_minus,mBM_F4_80_GFP_plus,OK,-3.63535,5.00E-05,0.000250321,yes,2,1
Itga4,-1.13936,73.1622,33.2128,chr2:79255425-79428988,mBM_F4_80_GFP_minus,mBM_F4_80_GFP_plus,OK,-3.85015,5.00E-05,0.000250321,yes,2,2
Haao,-1.14048,23.4529,10.6385,chr17:83831353-83846790,mBM_F4_80_GFP_minus,mBM_F4_80_GFP_plus,OK,-3.70844,5.00E-05,0.000250321,yes,2,2
Trex1,-1.14112,87.3898,39.6231,chr9:109057931-109059723,mBM_F4_80_GFP_minus,mBM_F4_80_GFP_plus,OK,-4.34303,5.00E-05,0.000250321,yes,2,2
Dusp1,-1.14228,153.768,69.6635,chr17:26505590-26508472,mBM_F4_80_GFP_minus,mBM_F4_80_GFP_plus,OK,-3.66844,5.00E-05,0.000250321,yes,2,2
Ppp2r5a,-1.1444,177.901,80.4782,chr1:191325964-191397041,mBM_F4_80_GFP_minus,mBM_F4_80_GFP_plus,OK,-3.88921,5.00E-05,0.000250321,yes,2,2
Msrb1,-1.14789,417.979,188.628,chr17:24736641-24742778,mBM_F4_80_GFP_minus,mBM_F4_80_GFP_plus,OK,-4.28834,5.00E-05,0.000250321,yes,2,2
Ms4a1,-1.15272,25.4747,11.4579,chr19:11196816-11299884,mBM_F4_80_GFP_minus,mBM_F4_80_GFP_plus,OK,-4.06137,5.00E-05,0.000250321,yes,2,2
Plekhm3,-1.15362,12.0632,5.42235,chr1:64789120-64956824,mBM_F4_80_GFP_minus,mBM_F4_80_GFP_plus,OK,-4.41493,5.00E-05,0.000250321,yes,2,1
Itgb2l,-1.15674,83.3473,37.3834,chr16:96422297-96443614,mBM_F4_80_GFP_minus,mBM_F4_80_GFP_plus,OK,-4.42007,5.00E-05,0.000250321,yes,2,2
Ccdc88c,-1.15687,36.9896,16.5892,chr12:100912699-101028983,mBM_F4_80_GFP_minus,mBM_F4_80_GFP_plus,OK,-4.43083,5.00E-05,0.000250321,yes,2,2
Notch2,-1.15701,61.8137,27.7198,chr3:98013537-98150367,mBM_F4_80_GFP_minus,mBM_F4_80_GFP_plus,OK,-4.03356,5.00E-05,0.000250321,yes,2,2
C1galt1c1,-1.15776,46.1724,20.6948,chrX:38630782-38635143,mBM_F4_80_GFP_minus,mBM_F4_80_GFP_plus,OK,-4.35865,5.00E-05,0.000250321,yes,2,2
Snx20,-1.16063,84.2371,37.6807,chr8:88626827-88636128,mBM_F4_80_GFP_minus,mBM_F4_80_GFP_plus,OK,-4.52844,5.00E-05,0.000250321,yes,2,2
Nfkbid,-1.161,15.7128,7.02682,chr7:30423303-30428746,mBM_F4_80_GFP_minus,mBM_F4_80_GFP_plus,OK,-3.87312,5.00E-05,0.000250321,yes,2,1
Mocos,-1.16294,15.665,6.99602,chr18:24653690-24701556,mBM_F4_80_GFP_minus,mBM_F4_80_GFP_plus,OK,-4.14839,5.00E-05,0.000250321,yes,2,1
Rnf144a,-1.16622,21.5485,9.60174,chr12:26306793-26415262,mBM_F4_80_GFP_minus,mBM_F4_80_GFP_plus,OK,-4.50676,5.00E-05,0.000250321,yes,2,1
Ptgir,-1.16711,13.6051,6.05852,chr7:16906489-16910905,mBM_F4_80_GFP_minus,mBM_F4_80_GFP_plus,OK,-4.14623,5.00E-05,0.000250321,yes,2,1
Arrdc3,-1.16901,18.9536,8.42913,chr13:80883421-80896043,mBM_F4_80_GFP_minus,mBM_F4_80_GFP_plus,OK,-4.43702,5.00E-05,0.000250321,yes,2,1
Fcmr,-1.17324,29.2496,12.97,chr1:130865776-130880790,mBM_F4_80_GFP_minus,mBM_F4_80_GFP_plus,OK,-3.95498,5.00E-05,0.000250321,yes,2,2
Parp3,-1.17861,10.1328,4.47643,chr9:106470352-106476651,mBM_F4_80_GFP_minus,mBM_F4_80_GFP_plus,OK,-3.79345,5.00E-05,0.000250321,yes,1,1
Tbc1d10c,-1.17872,38.387,16.9572,chr19:4184356-4191047,mBM_F4_80_GFP_minus,mBM_F4_80_GFP_plus,OK,-4.40953,5.00E-05,0.000250321,yes,2,2
Smim3,-1.17925,26.8947,11.8762,chr18:60474190-60501983,mBM_F4_80_GFP_minus,mBM_F4_80_GFP_plus,OK,-4.30856,5.00E-05,0.000250321,yes,2,2
Itgb2,-1.18272,540.018,237.889,chr10:77530347-77565674,mBM_F4_80_GFP_minus,mBM_F4_80_GFP_plus,OK,-3.43261,5.00E-05,0.000250321,yes,2,2
Ccpg1,-1.184,100.901,44.4092,chr9:72985503-73039699,mBM_F4_80_GFP_minus,mBM_F4_80_GFP_plus,OK,-4.23343,5.00E-05,0.000250321,yes,2,2
Rasa3,-1.18438,111.77,49.1803,chr8:13567217-13677587,mBM_F4_80_GFP_minus,mBM_F4_80_GFP_plus,OK,-4.322,5.00E-05,0.000250321,yes,2,2
Irf5,-1.18774,170.752,74.9585,chr6:29526624-29537320,mBM_F4_80_GFP_minus,mBM_F4_80_GFP_plus,OK,-4.33766,5.00E-05,0.000250321,yes,2,2
Plp2,-1.18982,224.109,98.2398,chrX:7657378-7671278,mBM_F4_80_GFP_minus,mBM_F4_80_GFP_plus,OK,-4.27583,5.00E-05,0.000250321,yes,2,2
Tsc22d3,-1.19118,126.921,55.5843,chrX:140539528-140600522,mBM_F4_80_GFP_minus,mBM_F4_80_GFP_plus,OK,-4.59013,5.00E-05,0.000250321,yes,2,2
Dusp22,-1.19382,24.8912,10.881,chr13:30660058-30711232,mBM_F4_80_GFP_minus,mBM_F4_80_GFP_plus,OK,-3.82131,5.00E-05,0.000250321,yes,2,2
Sowahc,-1.19786,15.478,6.74719,chr10:59221921-59226433,mBM_F4_80_GFP_minus,mBM_F4_80_GFP_plus,OK,-4.41361,5.00E-05,0.000250321,yes,2,1
Rap2a,-1.19911,17.4471,7.59899,chr14:120478460-120507192,mBM_F4_80_GFP_minus,mBM_F4_80_GFP_plus,OK,-4.53683,5.00E-05,0.000250321,yes,2,1
Dapk2,-1.19917,11.8253,5.15023,chr9:66158225-66272242,mBM_F4_80_GFP_minus,mBM_F4_80_GFP_plus,OK,-3.58259,5.00E-05,0.000250321,yes,2,1
Id1,-1.19991,24.4711,10.6523,chr2:152736250-152737410,mBM_F4_80_GFP_minus,mBM_F4_80_GFP_plus,OK,-3.71575,5.00E-05,0.000250321,yes,2,2
Trib1,-1.20139,16.2883,7.08307,chr15:59648653-59657099,mBM_F4_80_GFP_minus,mBM_F4_80_GFP_plus,OK,-4.35035,5.00E-05,0.000250321,yes,2,1
Ampd3,-1.20175,30.4265,13.2279,chr7:110768205-110812408,mBM_F4_80_GFP_minus,mBM_F4_80_GFP_plus,OK,-4.6954,5.00E-05,0.000250321,yes,2,2
Coro1a,-1.20186,1356.56,589.714,chr7:126699773-126704816,mBM_F4_80_GFP_minus,mBM_F4_80_GFP_plus,OK,-3.12216,5.00E-05,0.000250321,yes,2,2
Junb,-1.20186,173.076,75.2386,chr8:84976908-84978748,mBM_F4_80_GFP_minus,mBM_F4_80_GFP_plus,OK,-4.45711,5.00E-05,0.000250321,yes,2,2
Klf13,-1.20457,70.3891,30.5417,chr7:63886350-63938915,mBM_F4_80_GFP_minus,mBM_F4_80_GFP_plus,OK,-4.42232,5.00E-05,0.000250321,yes,2,2
Lyst,-1.20537,30.021,13.0188,chr13:13590408-13777440,mBM_F4_80_GFP_minus,mBM_F4_80_GFP_plus,OK,-4.50663,5.00E-05,0.000250321,yes,2,2
Arl5c,-1.20658,41.851,18.1338,chr11:97989579-97996173,mBM_F4_80_GFP_minus,mBM_F4_80_GFP_plus,OK,-4.48695,5.00E-05,0.000250321,yes,2,2
Fcer2a,-1.20822,10.3679,4.48725,chr8:3681736-3694174,mBM_F4_80_GFP_minus,mBM_F4_80_GFP_plus,OK,-3.59317,5.00E-05,0.000250321,yes,1,1
Sh2d3c,-1.20836,51.5274,22.2991,chr2:32721054-32755007,mBM_F4_80_GFP_minus,mBM_F4_80_GFP_plus,OK,-4.69317,5.00E-05,0.000250321,yes,2,2
Pbxip1,-1.20901,43.9506,19.0115,chr3:89436703-89450952,mBM_F4_80_GFP_minus,mBM_F4_80_GFP_plus,OK,-4.70804,5.00E-05,0.000250321,yes,2,2
Rbpms,-1.21161,17.0866,7.37775,chr8:33782643-33929863,mBM_F4_80_GFP_minus,mBM_F4_80_GFP_plus,OK,-3.76411,5.00E-05,0.000250321,yes,2,1
Tnfaip8l2,-1.21184,94.0234,40.5917,chr3:95134087-95142360,mBM_F4_80_GFP_minus,mBM_F4_80_GFP_plus,OK,-4.33289,5.00E-05,0.000250321,yes,2,2
Olfm1,-1.21205,39.0057,16.837,chr2:28193092-28230736,mBM_F4_80_GFP_minus,mBM_F4_80_GFP_plus,OK,-4.4091,5.00E-05,0.000250321,yes,2,2
Cds2,-1.2123,33.537,14.4739,chr2:132263147-132312050,mBM_F4_80_GFP_minus,mBM_F4_80_GFP_plus,OK,-4.33207,5.00E-05,0.000250321,yes,2,2
Fam101b,-1.21234,113.586,49.0202,chr11:76019194-76027782,mBM_F4_80_GFP_minus,mBM_F4_80_GFP_plus,OK,-4.47791,5.00E-05,0.000250321,yes,2,2
Map4k4,-1.21407,44.5145,19.1881,chr1:39900912-40026310,mBM_F4_80_GFP_minus,mBM_F4_80_GFP_plus,OK,-4.66219,5.00E-05,0.000250321,yes,2,2
Relt,-1.2163,33.1879,14.2836,chr7:100845847-100863413,mBM_F4_80_GFP_minus,mBM_F4_80_GFP_plus,OK,-4.67012,5.00E-05,0.000250321,yes,2,2
Tlr13,-1.21668,45.2513,19.4704,chrX:106143274-106160493,mBM_F4_80_GFP_minus,mBM_F4_80_GFP_plus,OK,-4.66538,5.00E-05,0.000250321,yes,2,2
Klf10,-1.21695,36.5054,15.7044,chr15:38291463-38300711,mBM_F4_80_GFP_minus,mBM_F4_80_GFP_plus,OK,-4.69243,5.00E-05,0.000250321,yes,2,2
Hacd4,-1.21881,37.9075,16.2864,chr4:88412929-88438926,mBM_F4_80_GFP_minus,mBM_F4_80_GFP_plus,OK,-4.62655,5.00E-05,0.000250321,yes,2,2
Vcl,-1.22114,91.2847,39.156,chr14:20929432-21033673,mBM_F4_80_GFP_minus,mBM_F4_80_GFP_plus,OK,-4.42009,5.00E-05,0.000250321,yes,2,2
Neurl3,-1.22294,119.622,51.2473,chr1:36264601-36273425,mBM_F4_80_GFP_minus,mBM_F4_80_GFP_plus,OK,-4.61525,5.00E-05,0.000250321,yes,2,2
Calhm2,-1.22298,27.0156,11.5734,chr19:47132231-47138294,mBM_F4_80_GFP_minus,mBM_F4_80_GFP_plus,OK,-4.41902,5.00E-05,0.000250321,yes,2,2
Mkl1,-1.22311,75.3065,32.2581,chr15:80977764-81190757,mBM_F4_80_GFP_minus,mBM_F4_80_GFP_plus,OK,-4.47449,5.00E-05,0.000250321,yes,2,2
Trp53inp1,-1.22341,16.3371,6.99668,chr4:11156440-11174377,mBM_F4_80_GFP_minus,mBM_F4_80_GFP_plus,OK,-4.706,5.00E-05,0.000250321,yes,2,1
Ceacam1,-1.22423,79.3777,33.9756,chr7:25376818-25566417,mBM_F4_80_GFP_minus,mBM_F4_80_GFP_plus,OK,-3.99346,5.00E-05,0.000250321,yes,2,2
Pdlim7,-1.22537,15.1368,6.47382,chr13:55497486-55513446,mBM_F4_80_GFP_minus,mBM_F4_80_GFP_plus,OK,-3.72014,5.00E-05,0.000250321,yes,2,1
Phf20l1,-1.22665,29.4466,12.5828,chr15:66577571-66645255,mBM_F4_80_GFP_minus,mBM_F4_80_GFP_plus,OK,-4.76902,5.00E-05,0.000250321,yes,2,2
Fpr2,-1.22691,20.7165,8.85071,chr17:17887823-17893952,mBM_F4_80_GFP_minus,mBM_F4_80_GFP_plus,OK,-3.92464,5.00E-05,0.000250321,yes,2,1
Pirb,-1.22726,132.922,56.7746,chr7:3712504-3720382,mBM_F4_80_GFP_minus,mBM_F4_80_GFP_plus,OK,-4.57794,5.00E-05,0.000250321,yes,2,2
Evi2a,-1.22756,95.392,40.736,chr11:79339891-79581609,mBM_F4_80_GFP_minus,mBM_F4_80_GFP_plus,OK,-1.92374,0.0015,0.00529409,yes,2,2
Ncf2,-1.22906,262.275,111.886,chr1:152807889-152836990,mBM_F4_80_GFP_minus,mBM_F4_80_GFP_plus,OK,-4.27191,5.00E-05,0.000250321,yes,2,2
Plec,-1.23264,33.4306,14.226,chr15:76170973-76231378,mBM_F4_80_GFP_minus,mBM_F4_80_GFP_plus,OK,-4.44983,5.00E-05,0.000250321,yes,2,2
Ccl9,-1.23419,119.232,50.683,chr11:83572916-83578636,mBM_F4_80_GFP_minus,mBM_F4_80_GFP_plus,OK,-4.54953,5.00E-05,0.000250321,yes,2,2
Mcpt8,-1.23442,216.995,92.2255,chr14:56082163-56085197,mBM_F4_80_GFP_minus,mBM_F4_80_GFP_plus,OK,-4.71832,5.00E-05,0.000250321,yes,2,2
Fam65b,-1.23509,51.9939,22.0878,chr13:24582188-24733806,mBM_F4_80_GFP_minus,mBM_F4_80_GFP_plus,OK,-4.59751,5.00E-05,0.000250321,yes,2,2
Fgd4,-1.23543,15.8521,6.73266,chr16:16416914-16599978,mBM_F4_80_GFP_minus,mBM_F4_80_GFP_plus,OK,-4.83472,5.00E-05,0.000250321,yes,2,1
Flt3l,-1.23572,11.0713,4.70121,chr7:45131188-45136432,mBM_F4_80_GFP_minus,mBM_F4_80_GFP_plus,OK,-3.26084,5.00E-05,0.000250321,yes,1,1
Fgr,-1.23613,123.073,52.2457,chr4:132974094-133001882,mBM_F4_80_GFP_minus,mBM_F4_80_GFP_plus,OK,-4.56788,5.00E-05,0.000250321,yes,2,2
Cers6,-1.23729,30.795,13.0622,chr2:68861556-69111290,mBM_F4_80_GFP_minus,mBM_F4_80_GFP_plus,OK,-4.78621,5.00E-05,0.000250321,yes,2,2
Mbp,-1.24127,44.0827,18.647,chr18:82475122-82585637,mBM_F4_80_GFP_minus,mBM_F4_80_GFP_plus,OK,-4.76498,5.00E-05,0.000250321,yes,2,2
Myo1g,-1.24313,158.639,67.0176,chr11:6506547-6520958,mBM_F4_80_GFP_minus,mBM_F4_80_GFP_plus,OK,-4.48617,5.00E-05,0.000250321,yes,2,2
Cx3cr1,-1.24494,101.349,42.7616,chr9:120048682-120068296,mBM_F4_80_GFP_minus,mBM_F4_80_GFP_plus,OK,-4.5909,5.00E-05,0.000250321,yes,2,2
E2f2,-1.24664,67.624,28.4986,chr4:136172273-136196056,mBM_F4_80_GFP_minus,mBM_F4_80_GFP_plus,OK,-4.75893,5.00E-05,0.000250321,yes,2,2
S100a10,-1.25033,230.422,96.8586,chr3:93555116-93564645,mBM_F4_80_GFP_minus,mBM_F4_80_GFP_plus,OK,-4.88209,5.00E-05,0.000250321,yes,2,2
Pqlc3,-1.2523,40.8217,17.1361,chr12:16988647-17000118,mBM_F4_80_GFP_minus,mBM_F4_80_GFP_plus,OK,-4.75831,5.00E-05,0.000250321,yes,2,2
Ptprc,-1.25541,258.395,108.235,chr1:138062858-138175305,mBM_F4_80_GFP_minus,mBM_F4_80_GFP_plus,OK,-3.77656,5.00E-05,0.000250321,yes,2,2
N4bp2l1,-1.25828,24.986,10.4452,chr5:150571642-150594525,mBM_F4_80_GFP_minus,mBM_F4_80_GFP_plus,OK,-4.48152,5.00E-05,0.000250321,yes,2,2
Slfn8,-1.2585,22.2674,9.30728,chr11:83002157-83020810,mBM_F4_80_GFP_minus,mBM_F4_80_GFP_plus,OK,-4.68485,5.00E-05,0.000250321,yes,2,1
Fos,-1.25901,315.868,131.979,chr12:85473900-85477270,mBM_F4_80_GFP_minus,mBM_F4_80_GFP_plus,OK,-3.98469,5.00E-05,0.000250321,yes,2,2
Lgals3,-1.26112,536.862,223.989,chr14:47373859-47386167,mBM_F4_80_GFP_minus,mBM_F4_80_GFP_plus,OK,-4.23006,5.00E-05,0.000250321,yes,2,2
Rgs2,-1.26408,110.657,46.0738,chr1:143999337-144004149,mBM_F4_80_GFP_minus,mBM_F4_80_GFP_plus,OK,-4.78746,5.00E-05,0.000250321,yes,2,2
Il6ra,-1.26888,87.6436,36.3706,chr3:89869323-89913162,mBM_F4_80_GFP_minus,mBM_F4_80_GFP_plus,OK,-4.79405,5.00E-05,0.000250321,yes,2,2
Btg1,-1.27001,93.4192,38.7369,chr10:96617000-96622811,mBM_F4_80_GFP_minus,mBM_F4_80_GFP_plus,OK,-4.63101,5.00E-05,0.000250321,yes,2,2
6530402F18Rik,-1.271,15.0286,6.22743,chr2:29194725-29252993,mBM_F4_80_GFP_minus,mBM_F4_80_GFP_plus,OK,-3.9778,5.00E-05,0.000250321,yes,2,1
Bach1,-1.2711,47.7042,19.7659,chr16:87698953-87733346,mBM_F4_80_GFP_minus,mBM_F4_80_GFP_plus,OK,-4.84205,5.00E-05,0.000250321,yes,2,2
Klf4,-1.27423,35.8057,14.8038,chr4:55527136-55532475,mBM_F4_80_GFP_minus,mBM_F4_80_GFP_plus,OK,-4.92148,5.00E-05,0.000250321,yes,2,2
Stk38,-1.27834,88.2781,36.3943,chr17:28970884-29007937,mBM_F4_80_GFP_minus,mBM_F4_80_GFP_plus,OK,-4.86896,5.00E-05,0.000250321,yes,2,2
Mboat1,-1.27859,11.2158,4.62311,chr13:30136489-30246694,mBM_F4_80_GFP_minus,mBM_F4_80_GFP_plus,OK,-4.22775,5.00E-05,0.000250321,yes,1,1
Helz2,-1.27931,15.5266,6.39682,chr2:181227614-181242027,mBM_F4_80_GFP_minus,mBM_F4_80_GFP_plus,OK,-4.99814,5.00E-05,0.000250321,yes,2,1
Slc27a4,-1.28061,36.4905,15.0203,chr2:29802679-29817522,mBM_F4_80_GFP_minus,mBM_F4_80_GFP_plus,OK,-4.98584,5.00E-05,0.000250321,yes,2,2
Eno3,-1.28188,17.4033,7.15726,chr11:70657175-70662513,mBM_F4_80_GFP_minus,mBM_F4_80_GFP_plus,OK,-3.97398,5.00E-05,0.000250321,yes,2,1
Sgms1,-1.28191,18.4887,7.60351,chr19:32122726-32388454,mBM_F4_80_GFP_minus,mBM_F4_80_GFP_plus,OK,-4.7166,5.00E-05,0.000250321,yes,2,1
Ifi204,-1.28421,53.9507,22.1519,chr1:173747293-173766919,mBM_F4_80_GFP_minus,mBM_F4_80_GFP_plus,OK,-4.911,5.00E-05,0.000250321,yes,2,2
Adpgk,-1.28662,164.799,67.5526,chr9:59291571-59316200,mBM_F4_80_GFP_minus,mBM_F4_80_GFP_plus,OK,-4.74895,5.00E-05,0.000250321,yes,2,2
Akna,-1.29019,103.668,42.3893,chr4:63367122-63403445,mBM_F4_80_GFP_minus,mBM_F4_80_GFP_plus,OK,-4.64432,5.00E-05,0.000250321,yes,2,2
Stk10,-1.29356,90.82,37.0494,chr11:32533265-32624595,mBM_F4_80_GFP_minus,mBM_F4_80_GFP_plus,OK,-4.72427,5.00E-05,0.000250321,yes,2,2
Naip5,-1.29635,19.1735,7.80659,chr13:100211739-100247336,mBM_F4_80_GFP_minus,mBM_F4_80_GFP_plus,OK,-5.01498,5.00E-05,0.000250321,yes,2,1
Notch1,-1.29741,29.7726,12.1132,chr2:26457901-26503822,mBM_F4_80_GFP_minus,mBM_F4_80_GFP_plus,OK,-4.97324,5.00E-05,0.000250321,yes,2,2
Cd300lf,-1.31205,27.8775,11.2276,chr11:115091430-115162240,mBM_F4_80_GFP_minus,mBM_F4_80_GFP_plus,OK,-3.00841,5.00E-05,0.000250321,yes,2,2
Rab11fip1,-1.31798,11.8725,4.76203,chr8:27138772-27174646,mBM_F4_80_GFP_minus,mBM_F4_80_GFP_plus,OK,-4.85512,5.00E-05,0.000250321,yes,1,1
Myo1f,-1.32308,280.315,112.036,chr17:33555706-33607764,mBM_F4_80_GFP_minus,mBM_F4_80_GFP_plus,OK,-4.24512,5.00E-05,0.000250321,yes,2,2
Gas7,-1.32437,27.2068,10.8643,chr11:67532997-67688992,mBM_F4_80_GFP_minus,mBM_F4_80_GFP_plus,OK,-5.13179,5.00E-05,0.000250321,yes,2,2
Ear1,-1.3255,3446.11,1375.04,chr14:43818764-43819639,mBM_F4_80_GFP_minus,mBM_F4_80_GFP_plus,OK,-3.14743,5.00E-05,0.000250321,yes,2,2
Cd52,-1.3304,743.942,295.834,chr4:134093537-134095073,mBM_F4_80_GFP_minus,mBM_F4_80_GFP_plus,OK,-4.9628,5.00E-05,0.000250321,yes,2,2
Hpse,-1.33187,43.8956,17.4377,chr5:100679485-100719683,mBM_F4_80_GFP_minus,mBM_F4_80_GFP_plus,OK,-5.16168,5.00E-05,0.000250321,yes,2,2
Ly6d,-1.33315,61.7669,24.5154,chr15:74762055-74763567,mBM_F4_80_GFP_minus,mBM_F4_80_GFP_plus,OK,-4.44168,5.00E-05,0.000250321,yes,2,2
Ier2,-1.3363,151.187,59.8754,chr8:84661330-84662852,mBM_F4_80_GFP_minus,mBM_F4_80_GFP_plus,OK,-5.14184,5.00E-05,0.000250321,yes,2,2
Ccdc109b,-1.33654,36.6277,14.5034,chr3:129914959-129970206,mBM_F4_80_GFP_minus,mBM_F4_80_GFP_plus,OK,-4.64818,5.00E-05,0.000250321,yes,2,2
Nbeal2,-1.33656,44.7825,17.7323,chr9:110624788-110654161,mBM_F4_80_GFP_minus,mBM_F4_80_GFP_plus,OK,-4.97927,5.00E-05,0.000250321,yes,2,2
Il18rap,-1.3447,23.4105,9.21754,chr1:40515361-40551705,mBM_F4_80_GFP_minus,mBM_F4_80_GFP_plus,OK,-5.19154,5.00E-05,0.000250321,yes,2,1
Rhof,-1.34479,12.8519,5.05994,chr5:123118179-123132629,mBM_F4_80_GFP_minus,mBM_F4_80_GFP_plus,OK,-4.25697,5.00E-05,0.000250321,yes,2,1
Fry,-1.34495,10.7968,4.25033,chr5:150259929-150497753,mBM_F4_80_GFP_minus,mBM_F4_80_GFP_plus,OK,-5.20056,5.00E-05,0.000250321,yes,1,1
Pyhin1,-1.34722,55.8458,21.9501,chr1:173630858-173647928,mBM_F4_80_GFP_minus,mBM_F4_80_GFP_plus,OK,-5.1633,5.00E-05,0.000250321,yes,2,2
Camkk2,-1.3476,43.7157,17.1778,chr5:122731169-122779410,mBM_F4_80_GFP_minus,mBM_F4_80_GFP_plus,OK,-5.23396,5.00E-05,0.000250321,yes,2,2
Il13ra1,-1.35023,27.8017,10.9046,chrX:36112107-36171261,mBM_F4_80_GFP_minus,mBM_F4_80_GFP_plus,OK,-5.0985,5.00E-05,0.000250321,yes,2,2
Usp18,-1.35309,13.002,5.08967,chr6:121245905-121270917,mBM_F4_80_GFP_minus,mBM_F4_80_GFP_plus,OK,-4.10789,5.00E-05,0.000250321,yes,2,1
Rras,-1.35351,49.0647,19.2009,chr7:45018006-45021644,mBM_F4_80_GFP_minus,mBM_F4_80_GFP_plus,OK,-4.70591,5.00E-05,0.000250321,yes,2,2
Neat1,-1.355,41.5996,16.2627,chr19:5824709-5845480,mBM_F4_80_GFP_minus,mBM_F4_80_GFP_plus,OK,-5.17861,5.00E-05,0.000250321,yes,2,2
C130050O18Rik,-1.35507,16.2404,6.34865,chr5:139359738-139460534,mBM_F4_80_GFP_minus,mBM_F4_80_GFP_plus,OK,-2.50984,5.00E-05,0.000250321,yes,2,1
Svil,-1.35534,36.3145,14.1932,chr18:5046588-5119293,mBM_F4_80_GFP_minus,mBM_F4_80_GFP_plus,OK,-5.21527,5.00E-05,0.000250321,yes,2,2
Osm,-1.35663,13.1852,5.14873,chr11:4236784-4241026,mBM_F4_80_GFP_minus,mBM_F4_80_GFP_plus,OK,-4.0739,5.00E-05,0.000250321,yes,2,1
Sorl1,-1.3604,91.0955,35.4794,chr9:41968488-42124289,mBM_F4_80_GFP_minus,mBM_F4_80_GFP_plus,OK,-4.7857,5.00E-05,0.000250321,yes,2,2
Apobr,-1.36211,92.3004,35.9061,chr7:126585007-126589092,mBM_F4_80_GFP_minus,mBM_F4_80_GFP_plus,OK,-5.12812,5.00E-05,0.000250321,yes,2,2
Ikzf3,-1.36306,22.7736,8.85339,chr11:98464692-98546031,mBM_F4_80_GFP_minus,mBM_F4_80_GFP_plus,OK,-5.18395,5.00E-05,0.000250321,yes,2,1
Naip6,-1.3632,10.2831,3.99724,chr13:100281120-100317688,mBM_F4_80_GFP_minus,mBM_F4_80_GFP_plus,OK,-4.94677,5.00E-05,0.000250321,yes,1,1
Aqp9,-1.36703,18.969,7.35405,chr9:71110658-71163289,mBM_F4_80_GFP_minus,mBM_F4_80_GFP_plus,OK,-4.82376,5.00E-05,0.000250321,yes,2,1
Emb,-1.36934,177.929,68.8706,chr13:117220572-117274415,mBM_F4_80_GFP_minus,mBM_F4_80_GFP_plus,OK,-4.95472,5.00E-05,0.000250321,yes,2,2
Ly6c1,-1.37028,15.7591,6.09585,chr15:75044017-75048837,mBM_F4_80_GFP_minus,mBM_F4_80_GFP_plus,OK,-2.89495,5.00E-05,0.000250321,yes,2,1
BC147527,-1.37167,14.6427,5.65858,chr13:120300391-120308841,mBM_F4_80_GFP_minus,mBM_F4_80_GFP_plus,OK,-4.20821,5.00E-05,0.000250321,yes,2,1
Degs1,-1.37459,118.509,45.7046,chr1:182275769-182282759,mBM_F4_80_GFP_minus,mBM_F4_80_GFP_plus,OK,-5.33229,5.00E-05,0.000250321,yes,2,2
Slpi,-1.37573,135.734,52.306,chr2:164354069-164356507,mBM_F4_80_GFP_minus,mBM_F4_80_GFP_plus,OK,-5.30169,5.00E-05,0.000250321,yes,2,2
Ypel3,-1.37643,117.798,45.3722,chr7:126776974-126780514,mBM_F4_80_GFP_minus,mBM_F4_80_GFP_plus,OK,-5.28092,5.00E-05,0.000250321,yes,2,2
